area,ethnic_group,value
Rangitane-Purerua,Pacific,30
Rangitane-Purerua,Asian,20
Rangitane-Purerua,Middle Eastern/Latin American/African,10
Waipapa,"Total people, ethnic group",900
Waipapa,European or Other (including New Zealander),780
Waipapa,Maori,220
Waipapa,Pacific,30
Waipapa,Asian,40
Waipapa,Middle Eastern/Latin American/African,10
Puketotara,"Total people, ethnic group",1760
Puketotara,European or Other (including New Zealander),1590
Puketotara,Maori,300
Puketotara,Pacific,50
Puketotara,Asian,40
Puketotara,Middle Eastern/Latin American/African,20
Waima Forest,"Total people, ethnic group",1150
Waima Forest,European or Other (including New Zealander),370
Waima Forest,Maori,950
Waima Forest,Pacific,100
Waima Forest,Asian,30
Waima Forest,Middle Eastern/Latin American/African,0
Riverview,"Total people, ethnic group",2180
Riverview,European or Other (including New Zealander),2000
Riverview,Maori,320
Riverview,Pacific,50
Riverview,Asian,70
Riverview,Middle Eastern/Latin American/African,20
Waipoua Forest,"Total people, ethnic group",1260
Waipoua Forest,European or Other (including New Zealander),740
Waipoua Forest,Maori,730
Waipoua Forest,Pacific,50
Waipoua Forest,Asian,30
Waipoua Forest,Middle Eastern/Latin American/African,10
Kerikeri Central,"Total people, ethnic group",2610
Kerikeri Central,European or Other (including New Zealander),2020
Kerikeri Central,Maori,620
Kerikeri Central,Pacific,140
Kerikeri Central,Asian,210
Kerikeri Central,Middle Eastern/Latin American/African,30
Kerikeri South,"Total people, ethnic group",2640
Kerikeri South,European or Other (including New Zealander),2400
Kerikeri South,Maori,380
Kerikeri South,Pacific,60
Kerikeri South,Asian,110
Kerikeri South,Middle Eastern/Latin American/African,20
Ohaeawai-Waimate North,"Total people, ethnic group",1190
Ohaeawai-Waimate North,European or Other (including New Zealander),860
Ohaeawai-Waimate North,Maori,500
Ohaeawai-Waimate North,Pacific,30
Ohaeawai-Waimate North,Asian,20
Ohaeawai-Waimate North,Middle Eastern/Latin American/African,0
Puketona-Waitangi,"Total people, ethnic group",1380
Puketona-Waitangi,European or Other (including New Zealander),1190
Puketona-Waitangi,Maori,350
Puketona-Waitangi,Pacific,10
Puketona-Waitangi,Asian,30
Puketona-Waitangi,Middle Eastern/Latin American/African,0
Ngapuhi,"Total people, ethnic group",1860
Ngapuhi,European or Other (including New Zealander),820
Ngapuhi,Maori,1330
Ngapuhi,Pacific,130
Ngapuhi,Asian,50
Ngapuhi,Middle Eastern/Latin American/African,10
Kaikohe,"Total people, ethnic group",4660
Kaikohe,European or Other (including New Zealander),1580
Kaikohe,Maori,3660
Kaikohe,Pacific,400
Kaikohe,Asian,190
Kaikohe,Middle Eastern/Latin American/African,10
Pakaraka,"Total people, ethnic group",680
Pakaraka,European or Other (including New Zealander),550
Pakaraka,Maori,240
Pakaraka,Pacific,10
Pakaraka,Asian,0
Pakaraka,Middle Eastern/Latin American/African,0
Haruru,"Total people, ethnic group",1110
Haruru,European or Other (including New Zealander),880
Haruru,Maori,290
Haruru,Pacific,60
Haruru,Asian,50
Haruru,Middle Eastern/Latin American/African,20
Russell,"Total people, ethnic group",780
Russell,European or Other (including New Zealander),680
Russell,Maori,160
Russell,Pacific,10
Russell,Asian,20
Russell,Middle Eastern/Latin American/African,0
Paihia,"Total people, ethnic group",1590
Paihia,European or Other (including New Zealander),1100
Paihia,Maori,570
Paihia,Pacific,60
Paihia,Asian,110
Paihia,Middle Eastern/Latin American/African,20
Mataraua Forest,"Total people, ethnic group",530
Mataraua Forest,European or Other (including New Zealander),240
Mataraua Forest,Maori,370
Mataraua Forest,Pacific,30
Mataraua Forest,Asian,10
Mataraua Forest,Middle Eastern/Latin American/African,0
Matawaia-Taumarere,"Total people, ethnic group",1440
Matawaia-Taumarere,European or Other (including New Zealander),700
Matawaia-Taumarere,Maori,940
Matawaia-Taumarere,Pacific,70
Matawaia-Taumarere,Asian,20
Matawaia-Taumarere,Middle Eastern/Latin American/African,0
Russell Peninsula,"Total people, ethnic group",620
Russell Peninsula,European or Other (including New Zealander),570
Russell Peninsula,Maori,90
Russell Peninsula,Pacific,0
Russell Peninsula,Asian,20
Russell Peninsula,Middle Eastern/Latin American/African,10
Opua (Far North district),"Total people, ethnic group",1180
Opua (Far North district),European or Other (including New Zealander),1020
Opua (Far North district),Maori,210
Opua (Far North district),Pacific,40
Opua (Far North district),Asian,40
Opua (Far North district),Middle Eastern/Latin American/African,10
Russell Forest-Rawhiti,"Total people, ethnic group",720
Russell Forest-Rawhiti,European or Other (including New Zealander),340
Russell Forest-Rawhiti,Maori,480
Russell Forest-Rawhiti,Pacific,40
Russell Forest-Rawhiti,Asian,10
Russell Forest-Rawhiti,Middle Eastern/Latin American/African,0
Moerewa,"Total people, ethnic group",1720
Moerewa,European or Other (including New Zealander),380
Moerewa,Maori,1560
Moerewa,Pacific,110
Moerewa,Asian,30
Moerewa,Middle Eastern/Latin American/African,0
Kawakawa,"Total people, ethnic group",1540
Kawakawa,European or Other (including New Zealander),630
Kawakawa,Maori,1140
Kawakawa,Pacific,130
Kawakawa,Asian,80
Kawakawa,Middle Eastern/Latin American/African,0
Maromaku,"Total people, ethnic group",810
Maromaku,European or Other (including New Zealander),610
Maromaku,Maori,370
Maromaku,Pacific,40
Maromaku,Asian,20
Maromaku,Middle Eastern/Latin American/African,20
Mangakahia-Hukerenui,"Total people, ethnic group",2000
Mangakahia-Hukerenui,European or Other (including New Zealander),1430
Mangakahia-Hukerenui,Maori,830
Mangakahia-Hukerenui,Pacific,60
Mangakahia-Hukerenui,Asian,30
Mangakahia-Hukerenui,Middle Eastern/Latin American/African,10
Whangaruru,"Total people, ethnic group",2590
Whangaruru,European or Other (including New Zealander),2010
Whangaruru,Maori,940
Whangaruru,Pacific,80
Whangaruru,Asian,30
Whangaruru,Middle Eastern/Latin American/African,10
Inlets other Whangarei district,"Total people, ethnic group",10
Inlets other Whangarei district,European or Other (including New Zealander),10
Inlets other Whangarei district,Maori,0
Inlets other Whangarei district,Pacific,0
Inlets other Whangarei district,Asian,0
Inlets other Whangarei district,Middle Eastern/Latin American/African,0
Matarau,"Total people, ethnic group",3070
Matarau,European or Other (including New Zealander),2830
Matarau,Maori,490
Matarau,Pacific,60
Matarau,Asian,90
Matarau,Middle Eastern/Latin American/African,10
Hikurangi,"Total people, ethnic group",1720
Hikurangi,European or Other (including New Zealander),1180
Hikurangi,Maori,860
Hikurangi,Pacific,90
Hikurangi,Asian,60
Hikurangi,Middle Eastern/Latin American/African,10
Kauri,"Total people, ethnic group",1800
Kauri,European or Other (including New Zealander),1670
Kauri,Maori,310
Kauri,Pacific,40
Kauri,Asian,40
Kauri,Middle Eastern/Latin American/African,10
Maungatapere,"Total people, ethnic group",3570
Maungatapere,European or Other (including New Zealander),3220
Maungatapere,Maori,680
Maungatapere,Pacific,50
Maungatapere,Asian,100
Maungatapere,Middle Eastern/Latin American/African,20
Kamo West,"Total people, ethnic group",2260
Kamo West,European or Other (including New Zealander),1890
Kamo West,Maori,590
Kamo West,Pacific,80
Kamo West,Asian,100
Kamo West,Middle Eastern/Latin American/African,30
Matapouri-Tutukaka,"Total people, ethnic group",1740
Matapouri-Tutukaka,European or Other (including New Zealander),1580
Matapouri-Tutukaka,Maori,310
Matapouri-Tutukaka,Pacific,50
Matapouri-Tutukaka,Asian,30
Matapouri-Tutukaka,Middle Eastern/Latin American/African,10
Kiripaka,"Total people, ethnic group",1030
Kiripaka,European or Other (including New Zealander),880
Kiripaka,Maori,240
Kiripaka,Pacific,30
Kiripaka,Asian,20
Kiripaka,Middle Eastern/Latin American/African,0
Kamo East,"Total people, ethnic group",2990
Kamo East,European or Other (including New Zealander),1950
Kamo East,Maori,1330
Kamo East,Pacific,180
Kamo East,Asian,230
Kamo East,Middle Eastern/Latin American/African,20
Granfield Reserve,"Total people, ethnic group",3160
Granfield Reserve,European or Other (including New Zealander),2550
Granfield Reserve,Maori,670
Granfield Reserve,Pacific,70
Granfield Reserve,Asian,280
Granfield Reserve,Middle Eastern/Latin American/African,10
Kamo Central,"Total people, ethnic group",1740
Kamo Central,European or Other (including New Zealander),1400
Kamo Central,Maori,560
Kamo Central,Pacific,90
Kamo Central,Asian,80
Kamo Central,Middle Eastern/Latin American/African,0
Whau Valley,"Total people, ethnic group",2890
Whau Valley,European or Other (including New Zealander),2250
Whau Valley,Maori,770
Whau Valley,Pacific,110
Whau Valley,Asian,220
Whau Valley,Middle Eastern/Latin American/African,30
Tikipunga North,"Total people, ethnic group",3110
Tikipunga North,European or Other (including New Zealander),2060
Tikipunga North,Maori,1400
Tikipunga North,Pacific,230
Tikipunga North,Asian,110
Tikipunga North,Middle Eastern/Latin American/African,20
Pukenui,"Total people, ethnic group",2110
Pukenui,European or Other (including New Zealander),1870
Pukenui,Maori,240
Pukenui,Pacific,30
Pukenui,Asian,150
Pukenui,Middle Eastern/Latin American/African,20
Otangarei,"Total people, ethnic group",2210
Otangarei,European or Other (including New Zealander),650
Otangarei,Maori,1750
Otangarei,Pacific,250
Otangarei,Asian,40
Otangarei,Middle Eastern/Latin American/African,10
Tikipunga South,"Total people, ethnic group",4030
Tikipunga South,European or Other (including New Zealander),2940
Tikipunga South,Maori,1630
Tikipunga South,Pacific,230
Tikipunga South,Asian,140
Tikipunga South,Middle Eastern/Latin American/African,20
Kensington (Whangarei district),"Total people, ethnic group",3350
Kensington (Whangarei district),European or Other (including New Zealander),2540
Kensington (Whangarei district),Maori,920
Kensington (Whangarei district),Pacific,150
Kensington (Whangarei district),Asian,280
Kensington (Whangarei district),Middle Eastern/Latin American/African,20
Abbey Caves-Glenbervie,"Total people, ethnic group",1360
Abbey Caves-Glenbervie,European or Other (including New Zealander),1260
Abbey Caves-Glenbervie,Maori,220
Abbey Caves-Glenbervie,Pacific,20
Abbey Caves-Glenbervie,Asian,40
Abbey Caves-Glenbervie,Middle Eastern/Latin American/African,0
Mairtown,"Total people, ethnic group",2560
Mairtown,European or Other (including New Zealander),1990
Mairtown,Maori,700
Mairtown,Pacific,90
Mairtown,Asian,180
Mairtown,Middle Eastern/Latin American/African,20
Maunu-Horahora,"Total people, ethnic group",3420
Maunu-Horahora,European or Other (including New Zealander),2490
Maunu-Horahora,Maori,700
Maunu-Horahora,Pacific,80
Maunu-Horahora,Asian,560
Maunu-Horahora,Middle Eastern/Latin American/African,20
Woodhill-Vinetown,"Total people, ethnic group",2980
Woodhill-Vinetown,European or Other (including New Zealander),1920
Woodhill-Vinetown,Maori,950
Woodhill-Vinetown,Pacific,170
Woodhill-Vinetown,Asian,460
Woodhill-Vinetown,Middle Eastern/Latin American/African,20
Whangarei Central,"Total people, ethnic group",1000
Whangarei Central,European or Other (including New Zealander),610
Whangarei Central,Maori,290
Whangarei Central,Pacific,60
Whangarei Central,Asian,160
Whangarei Central,Middle Eastern/Latin American/African,10
Riverside,"Total people, ethnic group",2160
Riverside,European or Other (including New Zealander),1790
Riverside,Maori,610
Riverside,Pacific,90
Riverside,Asian,80
Riverside,Middle Eastern/Latin American/African,10
Raumanga,"Total people, ethnic group",3490
Raumanga,European or Other (including New Zealander),1810
Raumanga,Maori,2050
Raumanga,Pacific,240
Raumanga,Asian,170
Raumanga,Middle Eastern/Latin American/African,20
Tarewa,"Total people, ethnic group",2070
Tarewa,European or Other (including New Zealander),1050
Tarewa,Maori,1300
Tarewa,Pacific,160
Tarewa,Asian,130
Tarewa,Middle Eastern/Latin American/African,20
Morningside (Whangarei district),"Total people, ethnic group",2450
Morningside (Whangarei district),European or Other (including New Zealander),1610
Morningside (Whangarei district),Maori,1080
Morningside (Whangarei district),Pacific,140
Morningside (Whangarei district),Asian,200
Morningside (Whangarei district),Middle Eastern/Latin American/African,10
Ngunguru,"Total people, ethnic group",1210
Ngunguru,European or Other (including New Zealander),1080
Ngunguru,Maori,220
Ngunguru,Pacific,30
Ngunguru,Asian,30
Ngunguru,Middle Eastern/Latin American/African,20
Otaika-Portland,"Total people, ethnic group",1390
Otaika-Portland,European or Other (including New Zealander),1170
Otaika-Portland,Maori,430
Otaika-Portland,Pacific,60
Otaika-Portland,Asian,30
Otaika-Portland,Middle Eastern/Latin American/African,10
Oakleigh-Mangapai,"Total people, ethnic group",2380
Oakleigh-Mangapai,European or Other (including New Zealander),2180
Oakleigh-Mangapai,Maori,450
Oakleigh-Mangapai,Pacific,60
Oakleigh-Mangapai,Asian,40
Oakleigh-Mangapai,Middle Eastern/Latin American/African,0
Port-Limeburners,"Total people, ethnic group",100
Port-Limeburners,European or Other (including New Zealander),70
Port-Limeburners,Maori,30
Port-Limeburners,Pacific,0
Port-Limeburners,Asian,20
Port-Limeburners,Middle Eastern/Latin American/African,0
Pataua,"Total people, ethnic group",1630
Pataua,European or Other (including New Zealander),1500
Pataua,Maori,270
Pataua,Pacific,30
Pataua,Asian,20
Pataua,Middle Eastern/Latin American/African,10
Onerahi Park,"Total people, ethnic group",1640
Onerahi Park,European or Other (including New Zealander),1360
Onerahi Park,Maori,310
Onerahi Park,Pacific,50
Onerahi Park,Asian,120
Onerahi Park,Middle Eastern/Latin American/African,10
Sherwood Rise,"Total people, ethnic group",2540
Sherwood Rise,European or Other (including New Zealander),1910
Sherwood Rise,Maori,850
Sherwood Rise,Pacific,90
Sherwood Rise,Asian,90
Sherwood Rise,Middle Eastern/Latin American/African,20
Onerahi,"Total people, ethnic group",2530
Onerahi,European or Other (including New Zealander),1870
Onerahi,Maori,880
Onerahi,Pacific,140
Onerahi,Asian,80
Onerahi,Middle Eastern/Latin American/African,10
Inlet Whangarei Harbour,"Total people, ethnic group",10
Inlet Whangarei Harbour,European or Other (including New Zealander),10
Inlet Whangarei Harbour,Maori,0
Inlet Whangarei Harbour,Pacific,0
Inlet Whangarei Harbour,Asian,0
Inlet Whangarei Harbour,Middle Eastern/Latin American/African,0
Parua Bay,"Total people, ethnic group",2530
Parua Bay,European or Other (including New Zealander),2300
Parua Bay,Maori,390
Parua Bay,Pacific,50
Parua Bay,Asian,70
Parua Bay,Middle Eastern/Latin American/African,10
Bream Bay,"Total people, ethnic group",2140
Bream Bay,European or Other (including New Zealander),1890
Bream Bay,Maori,460
Bream Bay,Pacific,70
Bream Bay,Asian,50
Bream Bay,Middle Eastern/Latin American/African,10
Marsden Bay,"Total people, ethnic group",2300
Marsden Bay,European or Other (including New Zealander),2010
Marsden Bay,Maori,450
Marsden Bay,Pacific,70
Marsden Bay,Asian,100
Marsden Bay,Middle Eastern/Latin American/African,10
Ruakaka,"Total people, ethnic group",2660
Ruakaka,European or Other (including New Zealander),2070
Ruakaka,Maori,910
Ruakaka,Pacific,130
Ruakaka,Asian,100
Ruakaka,Middle Eastern/Latin American/African,10
Bream Head,"Total people, ethnic group",1440
Bream Head,European or Other (including New Zealander),1360
Bream Head,Maori,180
Bream Head,Pacific,30
Bream Head,Asian,30
Bream Head,Middle Eastern/Latin American/African,10
Waipu,"Total people, ethnic group",2790
Waipu,European or Other (including New Zealander),2590
Waipu,Maori,410
Waipu,Pacific,50
Waipu,Asian,70
Waipu,Middle Eastern/Latin American/African,20
Kaipara Coastal,"Total people, ethnic group",3830
Kaipara Coastal,European or Other (including New Zealander),3070
Kaipara Coastal,Maori,1170
Kaipara Coastal,Pacific,120
Kaipara Coastal,Asian,120
Kaipara Coastal,Middle Eastern/Latin American/African,10
Maungaru,"Total people, ethnic group",1840
Maungaru,European or Other (including New Zealander),1700
Maungaru,Maori,390
Maungaru,Pacific,50
Maungaru,Asian,30
Maungaru,Middle Eastern/Latin American/African,0
Dargaville,"Total people, ethnic group",4940
Dargaville,European or Other (including New Zealander),3490
Dargaville,Maori,1810
Dargaville,Pacific,370
Dargaville,Asian,220
Dargaville,Middle Eastern/Latin American/African,20
Ruawai-Matakohe,"Total people, ethnic group",2530
Ruawai-Matakohe,European or Other (including New Zealander),2190
Ruawai-Matakohe,Maori,670
Ruawai-Matakohe,Pacific,60
Ruawai-Matakohe,Asian,30
Ruawai-Matakohe,Middle Eastern/Latin American/African,10
Otamatea (Kaipara district),"Total people, ethnic group",1780
Otamatea (Kaipara district),European or Other (including New Zealander),1620
Otamatea (Kaipara district),Maori,300
Otamatea (Kaipara district),Pacific,40
Otamatea (Kaipara district),Asian,30
Otamatea (Kaipara district),Middle Eastern/Latin American/African,0
Maungaturoto,"Total people, ethnic group",1320
Maungaturoto,European or Other (including New Zealander),1130
Maungaturoto,Maori,320
Maungaturoto,Pacific,40
Maungaturoto,Asian,30
Maungaturoto,Middle Eastern/Latin American/African,0
Kaiwaka,"Total people, ethnic group",2230
Kaiwaka,European or Other (including New Zealander),1790
Kaiwaka,Maori,590
Kaiwaka,Pacific,80
Kaiwaka,Asian,80
Kaiwaka,Middle Eastern/Latin American/African,20
Mangawhai Rural,"Total people, ethnic group",2180
Mangawhai Rural,European or Other (including New Zealander),2070
Mangawhai Rural,Maori,260
Mangawhai Rural,Pacific,60
Mangawhai Rural,Asian,40
Mangawhai Rural,Middle Eastern/Latin American/African,20
Mangawhai Heads,"Total people, ethnic group",2100
Mangawhai Heads,European or Other (including New Zealander),1930
Mangawhai Heads,Maori,240
Mangawhai Heads,Pacific,50
Mangawhai Heads,Asian,80
Mangawhai Heads,Middle Eastern/Latin American/African,10
Inlet Mangawhai Harbour,"Total people, ethnic group",0
Inlet Mangawhai Harbour,European or Other (including New Zealander),0
Inlet Mangawhai Harbour,Maori,0
Inlet Mangawhai Harbour,Pacific,0
Inlet Mangawhai Harbour,Asian,0
Inlet Mangawhai Harbour,Middle Eastern/Latin American/African,0
Mangawhai,"Total people, ethnic group",1010
Mangawhai,European or Other (including New Zealander),940
Mangawhai,Maori,140
Mangawhai,Pacific,20
Mangawhai,Asian,30
Mangawhai,Middle Eastern/Latin American/African,10
Okahukura Peninsula,"Total people, ethnic group",1540
Okahukura Peninsula,European or Other (including New Zealander),1360
Okahukura Peninsula,Maori,320
Okahukura Peninsula,Pacific,40
Okahukura Peninsula,Asian,50
Okahukura Peninsula,Middle Eastern/Latin American/African,0
Inlet Kaipara Harbour South,"Total people, ethnic group",0
Inlet Kaipara Harbour South,European or Other (including New Zealander),0
Inlet Kaipara Harbour South,Maori,0
Inlet Kaipara Harbour South,Pacific,0
Inlet Kaipara Harbour South,Asian,0
Inlet Kaipara Harbour South,Middle Eastern/Latin American/African,0
Cape Rodney,"Total people, ethnic group",3650
Cape Rodney,European or Other (including New Zealander),3400
Cape Rodney,Maori,570
Cape Rodney,Pacific,130
Cape Rodney,Asian,70
Cape Rodney,Middle Eastern/Latin American/African,30
Wellsford,"Total people, ethnic group",2030
Wellsford,European or Other (including New Zealander),1600
Wellsford,Maori,520
Wellsford,Pacific,110
Wellsford,Asian,130
Wellsford,Middle Eastern/Latin American/African,10
Oceanic Auckland Region East,"Total people, ethnic group",10
Oceanic Auckland Region East,European or Other (including New Zealander),10
Oceanic Auckland Region East,Maori,0
Oceanic Auckland Region East,Pacific,0
Oceanic Auckland Region East,Asian,0
Oceanic Auckland Region East,Middle Eastern/Latin American/African,0
South Head,"Total people, ethnic group",2700
South Head,European or Other (including New Zealander),2380
South Head,Maori,510
South Head,Pacific,110
South Head,Asian,80
South Head,Middle Eastern/Latin American/African,20
Kaipara Hills,"Total people, ethnic group",2040
Kaipara Hills,European or Other (including New Zealander),1800
Kaipara Hills,Maori,380
Kaipara Hills,Pacific,40
Kaipara Hills,Asian,60
Kaipara Hills,Middle Eastern/Latin American/African,0
Dome Valley-Matakana,"Total people, ethnic group",1580
Dome Valley-Matakana,European or Other (including New Zealander),1490
Dome Valley-Matakana,Maori,130
Dome Valley-Matakana,Pacific,30
Dome Valley-Matakana,Asian,70
Dome Valley-Matakana,Middle Eastern/Latin American/African,10
Oceanic Auckland Region West,"Total people, ethnic group",0
Oceanic Auckland Region West,European or Other (including New Zealander),0
Oceanic Auckland Region West,Maori,0
Oceanic Auckland Region West,Pacific,0
Oceanic Auckland Region West,Asian,0
Oceanic Auckland Region West,Middle Eastern/Latin American/African,0
Warkworth West,"Total people, ethnic group",2570
Warkworth West,European or Other (including New Zealander),2320
Warkworth West,Maori,250
Warkworth West,Pacific,150
Warkworth West,Asian,100
Warkworth West,Middle Eastern/Latin American/African,10
Puhoi Valley,"Total people, ethnic group",3810
Puhoi Valley,European or Other (including New Zealander),3610
Puhoi Valley,Maori,270
Puhoi Valley,Pacific,100
Puhoi Valley,Asian,110
Puhoi Valley,Middle Eastern/Latin American/African,30
Warkworth East,"Total people, ethnic group",3250
Warkworth East,European or Other (including New Zealander),2720
Warkworth East,Maori,310
Warkworth East,Pacific,260
Warkworth East,Asian,250
Warkworth East,Middle Eastern/Latin American/African,40
Sandspit,"Total people, ethnic group",1000
Sandspit,European or Other (including New Zealander),970
Sandspit,Maori,40
Sandspit,Pacific,30
Sandspit,Asian,20
Sandspit,Middle Eastern/Latin American/African,0
Tawharanui Peninsula,"Total people, ethnic group",2030
Tawharanui Peninsula,European or Other (including New Zealander),1930
Tawharanui Peninsula,Maori,140
Tawharanui Peninsula,Pacific,40
Tawharanui Peninsula,Asian,40
Tawharanui Peninsula,Middle Eastern/Latin American/African,10
Te Kuru,"Total people, ethnic group",2570
Te Kuru,European or Other (including New Zealander),2430
Te Kuru,Maori,290
Te Kuru,Pacific,60
Te Kuru,Asian,70
Te Kuru,Middle Eastern/Latin American/African,20
Snells Beach,"Total people, ethnic group",3540
Snells Beach,European or Other (including New Zealander),3220
Snells Beach,Maori,380
Snells Beach,Pacific,180
Snells Beach,Asian,120
Snells Beach,Middle Eastern/Latin American/African,30
Barrier Islands,"Total people, ethnic group",960
Barrier Islands,European or Other (including New Zealander),880
Barrier Islands,Maori,200
Barrier Islands,Pacific,20
Barrier Islands,Asian,10
Barrier Islands,Middle Eastern/Latin American/African,0
Algies Bay-Scotts Landing,"Total people, ethnic group",1220
Algies Bay-Scotts Landing,European or Other (including New Zealander),1150
Algies Bay-Scotts Landing,Maori,80
Algies Bay-Scotts Landing,Pacific,20
Algies Bay-Scotts Landing,Asian,60
Algies Bay-Scotts Landing,Middle Eastern/Latin American/African,0
Inlets other Auckland,"Total people, ethnic group",10
Inlets other Auckland,European or Other (including New Zealander),10
Inlets other Auckland,Maori,0
Inlets other Auckland,Pacific,0
Inlets other Auckland,Asian,0
Inlets other Auckland,Middle Eastern/Latin American/African,0
Wainui-Waiwera,"Total people, ethnic group",1740
Wainui-Waiwera,European or Other (including New Zealander),1610
Wainui-Waiwera,Maori,160
